State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Non_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle,Households_with_Landline_only,Households_with_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_River_Canal_Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Power_Parity_Less_than_Rs_45000,sex_ratio
Andhra Pradesh,Adilabad,19.28451395,78.81321233,532,ANDHRA PRADESH,2741239,1369597,1371642,1483347,856350,626997,488596,242844,245752,495794,247472,248322,1323667,748939,574728,1417572,484912,84661,390357,2399901,275970,15422,1377,25510,617,322,22120,194954,566108,5512,45202,597466,220248,817714,232470,344167,225957,143143,100226,1536378,704551,422522,150289,8338,25190,96998,15483,374630,9483,306433,403530,13417,378259,191052,559211,77594,267233,3303,212025,229686,1521,270862,79354,648,100
Andhra Pradesh,Anantapur,14.31206556,77.46015845,553,ANDHRA PRADESH,4081148,2064495,2016653,2310960,1338474,972486,583135,292379,290756,154127,78573,75554,2036166,1208544,827622,2044982,879537,105343,638033,3599372,443456,20463,932,341,1417,309,14858,223016,897970,8606,48299,902997,341431,1244428,462273,720357,331793,162175,144915,2189396,1104565,739612,206433,9915,63528,144214,24039,534408,14470,559461,581087,22640,755971,353948,779195,172680,117001,469,528245,225275,201,819675,43685,969,98
Andhra Pradesh,Chittoor,13.33109263,78.92763899,554,ANDHRA PRADESH,4174064,2090204,2083860,2667878,1484794,1183084,785760,389582,396178,159165,79756,79409,1933357,1202223,731134,2240707,748093,57269,693451,3737588,397870,24129,867,253,1322,358,11677,324406,944555,13763,67087,907970,395900,1303870,522961,770836,548336,265199,246409,2148179,1159053,807430,225856,16296,93489,186568,35378,561188,24934,611465,632803,36237,754648,382377,815953,196720,135531,548,539408,342011,494,835606,92651,1021,100
Andhra Pradesh,East Godavari,16.78271832,82.24320747,545,ANDHRA PRADESH,5154296,2569688,2584608,3288577,1716933,1571644,945269,468883,476386,213195,104422,108773,2093681,1545831,547850,3060615,1122046,57853,753375,4983330,77777,77825,738,413,4149,403,9661,479914,1297273,22411,93784,1199479,406362,1605841,669420,947606,521562,271809,263023,2724328,1478954,948122,779052,25381,113126,232073,65415,614288,34494,821421,732492,52789,869464,800168,1088823,278383,342767,6523,558347,613789,5684,908806,40397,1274,101
Andhra Pradesh,Guntur,15.88492577,80.58657614,548,ANDHRA PRADESH,4887813,2440521,2447292,2960441,1634726,1325715,957407,476333,481074,247089,125105,121984,2381624,1442370,939254,2506189,1227956,47436,803891,4217597,559770,89763,764,323,3282,332,15982,648568,1186028,19383,80434,1069877,513113,1582990,736270,845810,453446,246580,221924,2583462,1371811,928462,454586,17424,106907,190079,62229,617321,28457,816849,733133,53583,904201,762845,981115,276073,428749,4238,465404,554667,5833,739450,73453,1119,100
Andhra Pradesh,Hyderabad,17.38971556,78.46668889,536,ANDHRA PRADESH,3943323,2018575,1924748,2892155,1542688,1349467,247927,124313,123614,48937,25556,23381,1413297,1045585,367712,2530026,23029,46157,1315803,2046051,1713405,87522,11446,1268,19560,1929,62142,581509,869721,149034,274653,0,1066289,1066289,230962,596591,811501,517425,558090,2249130,1068243,542669,229561,124106,288188,439890,91702,583744,200317,746818,799174,123728,873099,868186,437146,422826,8759,84,47880,814362,1196,862054,6139,416,95
Andhra Pradesh,Karimnagar,18.51548319,79.43765429,534,ANDHRA PRADESH,3776269,1880800,1895469,2206829,1257238,949591,709757,352481,357276,106745,53495,53250,1876768,1049463,827305,1899501,756859,168340,591179,3491139,244723,24979,2086,332,312,115,12583,344667,926768,8831,46584,877236,288044,1165280,340372,453505,463403,293493,256633,1940234,1031735,728494,406211,14175,37212,192965,25539,648422,16190,589283,691495,17534,675283,452865,823820,141432,135427,305,197387,633350,299,681510,65437,961,101
Andhra Pradesh,Khammam,17.68392133,80.67008644,541,ANDHRA PRADESH,2797370,1390988,1406382,1630234,901640,728594,462896,229905,232991,765565,378532,387033,1410062,802906,607156,1387308,804537,19799,360754,2595321,158887,33463,655,217,459,539,7829,219710,668519,8628,42171,669262,201363,870625,295639,346118,238811,154774,160804,1530602,774583,477955,267852,11887,35761,115078,19525,389453,15140,416734,427722,18744,403739,360531,616617,115379,210458,4467,240615,354579,889,468045,61127,732,101
Andhra Pradesh,Krishna,16.14387275,81.14805061,547,ANDHRA PRADESH,4517398,2267375,2250023,3009718,1598959,1410759,871063,435412,435651,132464,66734,65730,2048880,1327299,721581,2468518,1006976,48444,843294,4023678,307043,145598,1393,863,6320,906,31597,632890,1163932,30438,101450,909292,567042,1476334,618101,692968,531821,312753,328454,2340943,1284630,833959,525079,27969,112568,212111,76037,598166,43264,794346,743696,69493,897201,863417,863382,328243,205072,1097,387804,611878,6592,903992,43371,1054,99
Andhra Pradesh,Kurnool,15.43759715,77.90086837,552,ANDHRA PRADESH,4053463,2039227,2014236,2127161,1246369,880792,737945,370215,367730,82831,42052,40779,2029425,1164122,865303,2024038,1037302,60791,620378,3328380,670737,33165,737,255,2235,434,17520,195001,816721,10081,56478,783853,306982,1090835,521327,672951,271828,152453,115504,2368684,1053618,609027,271815,10622,79714,118153,30605,519103,15373,543044,572406,22698,702120,353289,710444,156505,138946,6352,431425,227045,3297,696977,38696,1042,99
Andhra Pradesh,Mahbubnagar,16.63954622,77.98933089,538,ANDHRA PRADESH,4053028,2050386,2002642,1940646,1158386,782260,708954,356099,352855,364269,187035,177234,2082501,1140067,942434,1970527,931084,57846,524429,3673456,334172,21345,658,290,388,267,22452,136843,757821,6153,60812,848963,161052,1010015,419379,596134,308575,169083,98227,2360874,1027525,637430,151754,12615,60282,121553,23880,527437,11293,362791,570261,18944,508140,231015,800743,66068,166074,2595,329098,290371,774,681260,58931,1068,98
Andhra Pradesh,Medak,17.88930498,78.13778902,535,ANDHRA PRADESH,3033288,1523030,1510258,1637137,953406,683731,537947,266413,271534,168985,86574,82411,1442203,837874,604329,1591085,571129,67642,450211,2637313,342449,34301,1309,554,457,217,16688,163074,604719,8635,47170,593653,195479,789132,324267,503713,373729,201928,127493,1735769,779738,509368,232114,14362,69729,119276,28285,430639,15872,349304,482440,23516,421856,293838,570933,90125,149702,316,228110,278173,386,494042,92845,786,99
Andhra Pradesh,Nalgonda,17.11325052,79.16984454,539,ANDHRA PRADESH,3488809,1759772,1729037,2001019,1160757,840262,637385,318359,319026,394279,203876,190403,1741693,976428,765265,1747116,863131,45124,508214,3249231,188646,35025,937,241,250,132,14347,228818,789225,7715,53777,833504,197433,1030937,369537,518669,367424,238695,196134,1932349,897137,651748,286559,18927,44340,143010,23899,545350,15308,464172,588791,19542,479824,355700,760789,103172,162241,1096,298874,347474,258,598439,66625,968,98
Andhra Pradesh,Nizamabad,18.42948585,78.07523491,533,ANDHRA PRADESH,2551335,1250641,1300694,1389810,790214,599596,371074,178798,192276,192941,95679,97262,1261076,684320,576756,1290259,448281,171311,363382,2123426,391596,19653,2357,1847,542,146,11768,186740,545913,5261,35036,565165,155133,720298,269487,421399,396396,223365,141850,1399773,676401,437573,212631,10088,46837,102049,23277,385123,9899,308270,428744,20344,428790,245523,490840,93887,114151,335,218935,242762,823,450359,78420,661,104
Andhra Pradesh,Prakasam,15.489039,80.1166579,549,ANDHRA PRADESH,3397448,1714764,1682684,1904435,1107686,796749,787861,397242,390619,151145,76677,74468,1700567,991842,708725,1696881,889218,42603,488717,3150195,220654,18775,266,97,204,206,7051,290947,763746,6151,43611,873486,214089,1087575,489805,495556,249034,142026,133627,1832695,917391,641707,226045,9071,40847,105940,25076,451056,10365,468022,494689,18557,528518,321332,717208,127205,244709,2055,406577,197300,6529,481021,78693,855,98
Andhra Pradesh,Srikakulam,18.570901,84.25874814,542,ANDHRA PRADESH,2703114,1341738,1361376,1495381,857824,637557,255664,125214,130450,166118,81382,84736,1290288,766483,523805,1412826,700833,34479,389659,2666950,9025,18879,193,77,160,106,7724,149554,615432,3988,32280,752752,149684,902436,291793,348354,251521,146721,121213,1423119,747385,528736,180824,5264,19494,64087,18802,294830,6316,297418,332230,18598,178089,146386,610487,68045,282509,10077,394989,107308,1567,179917,85253,743,101
Andhra Pradesh,Vizianagaram,18.28329696,83.45982854,543,ANDHRA PRADESH,2344474,1161477,1182997,1238388,707503,530885,247728,121493,126235,235556,114687,120869,1157962,679289,478673,1186512,557254,27469,360954,2299129,16423,17853,380,114,815,183,9577,140361,527736,4453,24128,592458,157056,749514,250446,300057,186576,115144,103591,1206366,666394,451469,168297,5002,28633,61858,13208,236327,7516,278230,265587,16052,242486,131289,514227,68076,246172,2591,396943,95138,2588,259205,59276,613,102
Andhra Pradesh,Warangal,18.01752609,79.87422029,540,ANDHRA PRADESH,3512576,1759281,1753295,2065023,1179790,885233,616102,307709,308393,530656,268976,261680,1705655,960926,744729,1806921,758092,43550,502367,3273755,197333,31377,1453,253,569,126,7710,237349,828077,12952,59006,758738,288249,1046987,314252,457529,430242,279234,248942,1891954,941452,664872,311837,15727,71400,139404,34782,508632,22196,462819,568508,25094,504897,388583,761465,117060,174218,507,216245,461825,698,597926,70325,938,100
Andhra Pradesh,West Godavari,16.63297944,81.45912991,546,ANDHRA PRADESH,3936966,1964918,1972048,2652389,1379223,1273166,811698,403693,408005,109072,53367,55705,1773112,1199338,573774,2163854,1061787,33861,522189,3733191,86142,109120,288,209,1578,211,6227,435334,1017568,12050,55613,1007255,248373,1255628,595331,718960,415178,215863,207586,2051513,1127764,755533,605463,14687,70135,182698,56671,478091,19128,648607,578252,43490,720167,694857,836015,207958,126299,8333,338966,593261,10333,900503,17816,1011,100
Arunachal Pradesh,Changlang,27.36048479,96.37552645,253,ARUNACHAL PRADESH,148226,76948,71278,73174,44027,29147,0,0,0,53878,27061,26817,62966,39329,23637,85260,4208,496,18530,47683,2134,35969,94,50381,95,11738,132,4762,14593,170,1486,33422,6498,39920,20425,22537,10032,5641,3633,96630,35018,16414,13306,1102,6639,2450,434,9224,499,9314,10621,963,9721,19606,20141,5793,9164,1748,10346,12040,52,12297,2057,52,93
Arunachal Pradesh,East Kameng,27.37119406,93.04741486,247,ARUNACHAL PRADESH,78690,38775,39915,38449,21599,16850,0,0,0,72400,35266,37134,31710,16424,15286,46980,1063,273,8539,12333,652,37136,36,452,23,27868,190,3583,5318,57,885,14503,5215,19718,11713,10487,6213,4510,2330,53752,17922,6960,755,577,2116,1382,262,3378,203,3169,4178,538,4477,4703,12051,2014,46,1309,7097,2839,164,11181,44,52,103
Arunachal Pradesh,East Siang,28.15382353,95.06499226,251,ARUNACHAL PRADESH,99214,50116,49098,62576,34210,28366,0,0,0,69979,34533,35446,40222,23591,16631,58992,3565,493,15979,27854,2289,18254,69,776,30,49393,549,4866,14231,450,1582,19497,9524,29021,9938,13713,10937,9498,6540,61993,25334,11802,6380,2072,7467,4568,943,10557,930,9363,12744,1244,8399,11735,11640,5518,3798,633,7331,7504,135,12954,455,68,98
Arunachal Pradesh,Kurung Kumey,28.04853352,93.24531994,256,ARUNACHAL PRADESH,92076,45318,46758,36606,20258,16348,0,0,0,90764,44459,46305,38044,18429,19615,54032,2947,833,6847,4859,471,51189,43,121,81,34158,1154,586,3911,95,969,18603,1092,19695,12661,15054,6997,4353,2031,64379,20713,6836,189,605,3167,884,156,2988,106,1320,3318,174,2173,4066,15458,410,99,2385,7920,1688,390,6770,99,52,103
Arunachal Pradesh,Lohit,27.94678527,96.59670771,259,ARUNACHAL PRADESH,145726,76221,69505,83062,48380,34682,0,0,0,47410,23457,23953,60945,38910,22035,84781,7789,786,22461,99020,3846,10684,210,24452,104,7277,133,6549,17157,312,1471,33599,11372,44971,19306,25179,13070,7612,5180,94890,35493,15195,16426,1203,6169,3884,752,11499,631,12215,13372,1121,11806,17327,17340,7188,16855,1739,7993,16365,181,8500,2548,52,91
Arunachal Pradesh,Lower Dibang Valley,28.3265173,95.76567336,258,ARUNACHAL PRADESH,54080,28053,26027,31849,18087,13762,0,0,0,25974,12649,13325,22326,14102,8224,31754,3354,233,9052,28915,2247,9213,33,2932,19,10393,328,3068,5932,207,742,12000,3950,15950,5875,7957,5508,3570,2795,35140,13254,5652,4410,703,2736,2128,217,5804,346,4345,6616,595,4945,6143,5317,3805,2577,750,3148,5416,16,7059,139,52,93
Arunachal Pradesh,Lower Subansiri,27.70849297,93.96226108,255,ARUNACHAL PRADESH,83030,41843,41187,54057,29470,24587,0,0,0,72911,35803,37108,30202,17339,12863,52828,1968,435,14143,9551,1482,34402,27,193,13,37085,277,4211,12493,381,1598,18112,5365,23477,8492,10821,9861,7674,5230,55258,20305,7412,1063,2002,3921,2973,505,7429,655,7285,9532,1598,8804,11232,11259,3062,142,600,5240,7800,169,12831,142,52,98
Arunachal Pradesh,Papum Pare,27.27352972,93.54468184,248,ARUNACHAL PRADESH,176573,89182,87391,121048,65794,55254,0,0,0,117216,56469,60747,65772,41263,24509,110801,1859,1543,48266,57027,6148,84397,310,4768,139,22586,1198,22966,30539,2477,7418,20308,30180,50488,15368,21956,20007,17342,13840,120592,43812,11856,3898,6454,5958,8668,1397,22828,4243,23203,27411,3186,23052,25706,15037,12769,662,1653,9481,19772,346,25063,502,68,98
Arunachal Pradesh,Tawang,27.68068396,91.82504245,245,ARUNACHAL PRADESH,49977,29151,20826,26073,17720,8353,0,0,0,34811,16770,18041,28561,19554,9007,21416,1581,114,19235,11842,787,776,1164,34920,72,349,67,3794,8635,96,494,10730,2452,13182,4904,4730,2140,1989,1379,30709,13849,5399,105,895,2356,205,771,2310,247,4824,4036,955,3562,7026,6820,2134,8,165,3654,3806,40,7643,8,52,71
Arunachal Pradesh,Tirap,26.9440623,95.41470328,254,ARUNACHAL PRADESH,111975,57604,54371,47974,29313,18661,0,0,0,98372,49365,49007,50169,27545,22624,61806,1811,836,11555,20682,1103,83361,61,778,43,5325,622,3104,16026,98,888,18420,6500,24920,13585,16989,7834,4305,2134,71785,25669,14423,963,679,2281,1369,163,6563,216,6118,7182,456,6582,16937,15861,2575,133,1627,7290,4989,384,11931,117,52,94
Arunachal Pradesh,Upper Siang,28.83092449,95.00155765,252,ARUNACHAL PRADESH,35320,18699,16621,18195,10723,7472,0,0,0,28468,14413,14055,17644,9968,7676,17676,804,591,6273,5261,411,5643,27,2577,7,20967,427,1504,6198,97,392,8569,2182,10751,3952,5584,2935,2211,1349,21090,8910,5252,136,430,1415,1031,99,2890,165,2823,3491,502,2714,4413,5393,1047,1,35,3801,2537,5,6796,1,52,89
Arunachal Pradesh,Upper Subansiri,28.27719657,93.89914356,249,ARUNACHAL PRADESH,83448,41758,41690,45278,24807,20471,0,0,0,78323,38570,39753,33370,17898,15472,50078,1846,481,9353,13474,521,8779,28,297,11,59449,889,3123,5373,139,750,14542,4672,19214,10219,16118,10348,8017,4276,56054,20055,7230,782,569,4629,1435,475,2569,189,3580,3653,609,5007,6658,13420,1635,47,978,7080,3847,106,11712,11,52,100
Arunachal Pradesh,West Kameng,27.46486582,92.6501575,246,ARUNACHAL PRADESH,83947,46155,37792,48492,29566,18926,0,0,0,46380,22771,23609,42493,28313,14180,41454,1705,801,25511,31265,1970,8466,328,36087,71,5556,204,7133,14188,202,887,17889,6306,24195,8836,10317,5633,3987,2693,53026,22362,8493,348,1299,3081,1045,434,6641,371,8634,7942,867,7421,8253,9390,5787,92,693,7026,6902,254,14074,92,52,82
Arunachal Pradesh,West Siang,28.10629692,94.53510344,250,ARUNACHAL PRADESH,112274,58168,54106,64746,36777,27969,0,0,0,92783,45746,47037,49177,29156,20021,63097,1384,298,18643,15881,2218,29969,577,3311,49,60005,264,6115,14204,303,1300,22272,8503,30775,14227,17675,11441,8418,6030,70415,28305,13469,2129,1964,4771,4023,869,7725,621,9593,10217,1623,10692,15800,14876,4678,541,914,7809,9685,27,17389,84,52,93
Assam,Barpeta,26.42787226,90.9791201,303,ASSAM,1693622,867004,826618,897058,499038,398020,95320,49165,46155,27344,13530,13814,561824,445297,116527,1131798,98946,30342,227277,492966,1198036,1020,112,49,399,14,1026,50806,84804,2078,25286,447189,52192,499381,210607,307884,121924,87377,46947,1072312,405046,215355,181352,5560,66059,24913,4125,143945,3522,55319,151699,3629,97152,243504,326160,7625,296555,7691,74876,220128,976,5966,20547,52,95
Assam,Bongaigaon,26.45012522,90.67342962,319,ASSAM,738804,375818,362986,434078,237114,196964,82784,42513,40271,18835,9377,9458,255806,197542,58264,482998,47406,9485,115473,359145,371033,5924,384,236,871,9,1202,29937,49866,2523,12959,181923,38470,220393,93591,138294,55924,35491,20221,458796,184849,94939,97820,5837,26375,16579,3604,70455,4174,36350,78595,4536,47000,84687,134382,12007,85906,2463,28239,103898,159,8885,10563,52,97
Assam,Cachar,24.81557067,92.8684965,316,ASSAM,1736617,886284,850333,1174128,639946,534182,264897,136051,128846,17569,8736,8833,608062,469752,138310,1128555,68664,24466,394576,1038985,654816,37635,280,341,1673,98,2789,62135,140205,5316,37541,346227,88933,435160,256855,447993,156156,79766,45341,1048990,444899,241776,93297,8700,57825,22647,8808,149865,6365,99887,168487,9814,159266,298041,324905,25190,18687,39475,169873,80138,60245,134160,11692,52,96
Assam,Darrang,26.58463216,92.04141338,325,ASSAM,928500,475273,453227,487039,268666,218373,40260,20566,19694,8419,4300,4119,324843,246864,77979,603657,81617,10542,103228,327322,597392,1688,431,57,724,19,867,17676,45444,1166,12084,268517,20189,288706,119027,163277,59039,47398,22267,583436,226525,118102,109858,3533,52657,13662,2954,67484,2046,30616,72141,1703,46789,95080,180669,3789,162815,3593,43447,110458,1467,4865,7467,52,95
Assam,Dhemaji,27.58653344,94.71336909,308,ASSAM,686133,351249,334884,423028,237761,185267,44225,23006,21219,325560,165449,160111,316800,186577,130223,369333,19181,7224,58458,655052,13475,8711,297,911,167,6315,1205,16547,28195,1192,10410,211758,16504,228262,79107,138838,80804,55399,28006,434221,169630,82051,83663,3504,41278,12293,2358,53184,1764,25776,57166,1624,37742,57995,122182,5984,102172,7501,38063,71165,3574,2965,36334,52,95
Assam,Dibrugarh,27.30612284,95.09982823,310,ASSAM,1326335,676434,649901,884531,491361,393170,58876,30517,28359,102871,51835,51036,560557,368013,192544,765778,61209,14362,349792,1198401,64526,52968,2261,4673,1055,46,2405,76292,136685,8817,34479,299852,77163,377015,143189,243607,139813,89500,59380,767147,371864,186774,172503,21112,70499,44664,8009,122011,14742,121737,139869,9849,177759,214721,195303,38157,227877,1931,69884,184468,665,29708,65235,52,96
Assam,Goalpara,26.01727778,90.59869892,302,ASSAM,1008183,513292,494891,563577,304302,259275,45094,22999,22095,231570,116013,115557,362573,267118,95455,645610,75828,14346,145850,347878,579929,77862,771,194,477,103,969,21455,78641,1364,13524,228610,39504,268114,124700,213510,73683,39885,18294,650509,239831,117427,113964,4112,42290,15292,2747,87967,2183,42628,93630,2916,60181,129311,190189,4793,126514,3609,44095,115683,138,4201,9092,52,96
Assam,Golaghat,26.37721971,93.82583398,313,ASSAM,1066888,543161,523727,721764,396475,325289,62298,31807,30491,111765,56420,55345,479928,309104,170824,586960,66616,15068,207654,917426,90312,50582,1131,3863,530,1347,1697,40889,82345,3073,17636,292893,34190,327083,117393,223902,111145,66197,36887,629153,289085,148244,157029,9295,59992,27300,5124,93847,5146,70930,103909,4938,123520,153723,193055,12450,165581,3442,64252,103715,8486,31806,43628,52,96
Assam,Hailakandi,24.45749609,92.59154665,318,ASSAM,659296,337890,321406,407366,226836,180530,70659,36369,34290,691,354,337,214240,170792,43448,445056,31248,7313,110006,251194,397653,8480,84,490,247,636,512,11035,44143,1211,10615,159215,16202,175417,88596,177984,50056,28504,11608,419921,156243,82841,27808,2583,17228,5589,3256,49610,880,19998,55345,2479,49075,119292,134032,4264,9661,15503,75014,15369,55524,24859,5379,52,95
Assam,Jorhat,26.76244824,94.30197723,312,ASSAM,1092256,556805,535451,794929,432335,362594,88665,45194,43471,139971,70795,69176,498618,320746,177872,593638,53153,31543,268037,1008219,54684,21051,1540,2378,719,578,3087,71639,122063,5651,26357,286330,80824,367154,99454,201680,128050,97025,62608,604908,315550,171062,164118,16081,53465,44159,7387,114237,11198,92598,128081,6457,145819,155435,196137,21137,107878,6943,81844,104722,34072,65585,36039,52,96
Assam,Kamrup,26.17093945,91.58863274,321,ASSAM,1517542,778461,739081,995319,550219,445100,107827,55237,52590,182038,92094,89944,628954,428492,200462,888588,99522,69106,274523,877495,601784,33297,319,185,1330,55,3077,70272,122191,3109,23468,390596,43849,434445,163849,290097,154831,118849,55011,895775,408232,212740,199425,10052,113039,34461,8214,152132,4861,90941,164899,4553,124575,180800,295002,7808,242635,2846,61695,197830,412,11130,5577,52,95
Assam,Karbi Anglong,26.08966455,93.1153657,314,ASSAM,956313,490167,466146,557214,314253,242961,44961,23436,21525,538738,272460,266278,383441,246193,137248,572872,60952,9861,89608,766000,20290,157789,370,6260,397,3568,1639,18763,53918,1923,11340,215691,37185,252876,109324,212224,93137,40602,18225,618633,233739,103123,97148,3934,49689,13699,4399,69985,2124,56689,78269,3885,51860,96932,155192,16484,55973,11180,59185,62343,3965,12163,14978,52,95
Assam,Karimganj,24.69660712,92.36794986,317,ASSAM,1228686,625864,602822,795297,435942,359355,157890,81384,76506,1940,994,946,399171,319798,79373,829515,67033,17435,220355,521962,692489,11990,114,446,524,110,1051,28261,70951,1933,24699,261945,32695,294640,198059,333885,76685,39637,21408,779850,284368,163990,38218,3757,24956,7289,4786,94620,1529,38570,105749,6343,98861,210254,230546,10212,38965,23667,120544,44183,84284,31884,17639,52,96
Assam,Kokrajhar,26.49724664,90.13997471,300,ASSAM,887142,452905,434237,489305,275220,214085,29570,15386,14184,278665,139579,139086,341131,236322,104809,546011,56330,12423,115625,529068,252271,101091,93,1718,396,123,2382,15089,41373,1218,14063,204896,17115,222011,116899,166013,78788,39571,17287,552671,224715,108956,115712,2996,17083,12191,2751,70925,2167,32320,75903,2227,28132,52532,171597,4205,96490,3748,42957,103512,379,5098,23313,52,96
Assam,Lakhimpur,27.14128806,94.07759493,307,ASSAM,1042137,529674,512463,683486,375552,307934,81840,41689,40151,249426,126716,122710,429995,282250,147745,612142,43922,10983,135713,797130,193476,46217,412,1074,250,2410,1168,32104,60296,1948,15011,293239,34694,327933,126950,212080,107326,82885,44212,639385,268872,133615,133214,6904,57507,25699,3071,86234,3851,45689,92394,3089,73904,117971,183814,12407,100592,8173,51962,115599,3820,10937,23337,52,97
Assam,Nagaon,26.26462171,92.93061911,305,ASSAM,2823768,1439112,1384656,1710716,921850,788866,266350,136473,129877,115153,57759,57394,979998,766728,213270,1843770,196174,38122,399579,1225246,1563203,26844,3036,1073,1162,61,3143,89206,195631,5121,45956,674999,124186,799185,392616,638088,199792,115864,66994,1778277,678034,366112,333149,13979,90067,47693,10616,246649,8180,127523,271238,13973,250174,422431,509358,32751,436923,8543,111783,362290,4760,33210,35623,52,96
Assam,Nalbari,26.46323768,91.40598521,323,ASSAM,771639,396006,375633,531771,293184,238587,60216,30654,29562,23364,11692,11672,267623,210202,57421,504016,34984,19302,155267,491582,277488,429,62,27,1004,9,1038,37849,68313,1631,12360,210706,28238,238944,75866,141690,81507,71734,39368,442061,211320,117809,107774,4785,60699,18810,3749,80390,2667,45938,86710,2571,80855,103600,149314,4519,144604,1134,29026,109448,224,4373,1234,52,95
Assam,Sonitpur,26.73514927,92.85197805,306,ASSAM,1924110,983904,940206,1108572,620525,488047,109130,55817,53313,232207,117685,114522,770606,537195,233411,1153504,114865,25719,380899,1422824,350536,138166,1363,5088,1003,221,4909,70047,133368,4358,31254,483325,64528,547853,216097,416218,141373,90385,49901,1159991,501239,261648,275119,11760,76121,39796,6865,147652,7942,106909,163277,8760,177951,228882,323644,22030,135176,15114,104501,207718,1749,33448,16215,52,96
Assam,Tinsukia,27.53549291,95.69055949,309,ASSAM,1327929,680231,647698,798322,453449,344873,37688,19443,18245,82066,41769,40297,557196,366623,190573,770733,47756,13241,346717,1181347,48373,76877,1999,16228,837,395,1873,70471,161718,5135,27948,290704,90910,381614,150893,266717,109805,61040,38152,799874,352158,175377,168890,13323,47780,31363,5236,111267,8908,111738,124737,8234,167479,217556,179202,37251,222501,2163,69408,177588,1025,25386,57599,52,95
Bihar,Araria,26.21152812,87.30766555,209,BIHAR,2811569,1463333,1348236,1195768,727643,468125,382654,198247,184407,38848,19887,18961,1069893,708391,361502,1741676,691947,24367,130666,1593525,1207442,4116,371,187,1910,63,3955,17004,43290,2561,29796,659061,44213,703274,625357,426625,112955,68177,39627,1872943,612012,324091,279254,5041,125606,31983,8513,225586,1645,40387,240730,6631,225043,52549,550065,6185,543136,611,213049,317350,511,8056,54827,708,92
Bihar,Aurangabad,24.77429187,84.45986024,235,BIHAR,2540073,1318684,1221389,1466002,868733,597269,612064,316161,295903,1033,500,533,837770,599157,238613,1702303,426096,40652,192497,2291133,237353,2218,295,334,775,19,7946,24106,44456,2362,31168,428291,49006,477297,559512,482199,253142,136783,91371,1626969,564571,340948,195301,7145,102946,32335,8511,221469,2292,45871,235248,5268,166509,84329,377134,6754,349524,221,101279,247664,422,13998,2770,585,93
Bihar,Aurangabad,24.77429187,84.45986024,515,MAHARASHTRA,3701282,1924469,1776813,2503837,1430936,1072901,539368,277228,262140,143366,73876,69490,1575079,1015864,559215,2126203,396630,28033,595898,2545438,786677,15991,5142,309093,30981,1005,6955,246324,589477,23258,69937,551789,427343,979132,381695,686271,537936,310762,253253,2211996,909771,571932,192027,33322,94872,230188,34570,454647,43514,403594,526483,37266,616355,360410,580691,138210,106395,1840,198011,422166,3542,459847,47614,472,92
Maharashtra,Aurangabad,20.09792288,75.32072197,235,BIHAR,2540073,1318684,1221389,1466002,868733,597269,612064,316161,295903,1033,500,533,837770,599157,238613,1702303,426096,40652,192497,2291133,237353,2218,295,334,775,19,7946,24106,44456,2362,31168,428291,49006,477297,559512,482199,253142,136783,91371,1626969,564571,340948,195301,7145,102946,32335,8511,221469,2292,45871,235248,5268,166509,84329,377134,6754,349524,221,101279,247664,422,13998,2770,585,93
Maharashtra,Aurangabad,20.09792288,75.32072197,515,MAHARASHTRA,3701282,1924469,1776813,2503837,1430936,1072901,539368,277228,262140,143366,73876,69490,1575079,1015864,559215,2126203,396630,28033,595898,2545438,786677,15991,5142,309093,30981,1005,6955,246324,589477,23258,69937,551789,427343,979132,381695,686271,537936,310762,253253,2211996,909771,571932,192027,33322,94872,230188,34570,454647,43514,403594,526483,37266,616355,360410,580691,138210,106395,1840,198011,422166,3542,459847,47614,472,92
