State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Non_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle,Households_with_Landline_only,Households_with_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_River_Canal_Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Power_Parity_Less_than_Rs_45000,sex_ratio
Uttar Pradesh,Mirzapur,25.10207959,82.60126629,199,UTTAR PRADESH,2496970,1312302,1184668,1428683,865837,562846,661129,347436,313693,20132,10480,9652,881996,613061,268935,1614974,334372,80246,289246,2292534,195765,2373,1133,341,701,27,4096,43500,145997,4447,24518,465152,77963,543115,361642,421577,232189,177109,140668,1590528,552177,346773,309079,10205,110625,63155,11801,218005,5703,136132,237437,7631,131018,102361,381372,6470,274880,968,190622,98038,685,44170,7808,489,90
Uttar Pradesh,Moradabad,28.85177041,78.73580193,135,UTTAR PRADESH,4772006,2503186,2268820,2263848,1357435,906413,731406,385244,346162,685,377,308,1417811,1193439,224372,3354195,338384,88733,622056,2488265,2248392,13157,7555,1260,2426,382,10569,179473,281758,11690,61846,692398,355518,1047916,635957,725118,296210,186311,186489,3168270,988486,525574,399563,19316,133640,148802,23837,465306,18797,283005,504670,15527,532409,496107,737631,39319,509146,162,99762,650922,210,266687,10544,829,91
Uttar Pradesh,Muzaffarnagar,29.47050798,77.64017848,133,UTTAR PRADESH,4143512,2193434,1950078,2417339,1448528,968811,561250,298587,262663,317,176,141,1291644,1081569,210075,2851868,323641,45952,586002,2382914,1711453,6495,18601,1516,16345,60,6128,147785,368153,10077,56149,673746,296104,969850,826387,780470,281747,148770,98691,2671757,911621,544283,377807,32866,152598,145278,26827,467994,19878,331760,512592,17771,553728,449383,645420,27173,465696,202,150102,478281,770,203329,21322,769,89
Uttar Pradesh,Pilibhit,28.52024175,79.90103974,151,UTTAR PRADESH,2031007,1072002,959005,1061095,654290,406805,333558,176436,157122,1714,892,822,618605,534939,83666,1412402,224192,22782,155155,1449007,489686,3510,84787,360,138,45,3474,47723,83006,2870,18097,371752,89638,461390,294135,281158,117838,77602,66129,1320476,449673,256276,242225,7560,70230,55738,8642,192082,3823,106945,205860,5136,169387,162404,349881,7346,259939,163,50892,298535,119,98099,1041,401,89
Uttar Pradesh,Pratapgarh,25.86484273,81.93530049,131,RAJASTHAN,867848,437744,430104,401515,250122,151393,60429,30755,29674,550427,276742,273685,481294,251691,229603,386554,96815,5516,72544,827293,25597,358,72,32,14077,27,392,17984,71612,716,5961,209813,24269,234082,142397,111276,35206,21854,19109,545987,204801,115608,62048,2803,20596,31782,2318,72023,1433,37216,78345,4004,42404,20284,171300,5499,104251,1456,95295,21922,924,23928,13099,299,98
Uttar Pradesh,Pratapgarh,25.86484273,81.93530049,173,UTTAR PRADESH,3209141,1606085,1603056,1931559,1121381,810178,709252,351054,358198,723,380,343,1066601,704569,362032,2142540,386563,68642,305650,2731351,452394,3920,1451,7795,746,43,11441,46358,140538,5149,34400,711085,41701,752786,427626,558350,332742,238011,197846,2002569,703727,492097,447696,15781,231339,104506,16752,369563,6063,135185,397265,10950,186336,74799,523892,6378,341391,459,291932,155290,671,113727,4594,602,100
Uttar Pradesh,Rae Bareli,26.25390284,81.22260463,158,UTTAR PRADESH,3405559,1752542,1653017,1965843,1165965,799878,1030367,526735,503632,1756,876,880,1204710,867393,337317,2200849,507882,60774,319163,2975998,413243,3634,2424,722,397,602,8539,65080,247856,5184,34788,705025,73393,778418,540661,538301,270775,182823,153041,2116007,776583,506583,509053,13483,174654,94437,15715,337107,7023,130197,363829,11007,297883,112567,597191,12244,430363,497,341166,172901,719,125452,10160,647,94
Uttar Pradesh,Rampur,28.83244727,79.10977333,136,UTTAR PRADESH,2335819,1223889,1111930,1043666,630408,413258,307936,162844,145092,358,207,151,737261,609693,127568,1598558,230238,54238,238598,1073890,1181337,9201,65316,384,1307,63,4321,62281,131112,3847,25960,396775,143217,539992,278477,374898,85117,51703,43839,1576123,491164,258913,247366,14386,94941,73261,15035,232709,6956,134249,253787,6043,254563,260618,373771,14956,242661,159,40024,341262,220,145801,3358,461,91
Uttar Pradesh,Saharanpur,30.03381165,77.59905148,132,UTTAR PRADESH,3466382,1834106,1632276,2077108,1220114,856994,764450,407029,357421,980,517,463,1037344,911136,126208,2429038,273050,34032,508695,1966892,1454052,6523,18627,1937,10208,135,8008,149035,404499,9699,38816,605082,284156,889238,474060,600668,256510,163463,154153,2228689,769736,433862,365960,21310,116358,151620,16788,386772,17404,294410,419470,15910,468873,343084,555491,26897,388400,726,131048,408736,1792,190539,9937,612,89
Uttar Pradesh,Sant Kabir Nagar,26.79159652,83.03877643,186,UTTAR PRADESH,1715183,869656,845527,954949,567098,387851,369039,187413,181626,1593,823,770,539469,383482,155987,1175714,241825,28884,119156,1300586,404410,1766,447,4393,95,35,3451,17671,79525,2031,19729,324972,27179,352151,341757,290532,129442,86528,63506,1108368,352395,250502,201340,6778,48323,37986,7331,184329,2386,49191,195440,3780,123330,38686,253488,2887,162394,283,109340,130175,289,91688,1904,340,97
Uttar Pradesh,Shahjahanpur,27.99138935,79.83022753,152,UTTAR PRADESH,3006538,1606403,1400135,1490930,915142,575788,532673,285280,247393,508,259,249,892214,783313,108901,2114324,275192,31141,240908,2412595,527581,4630,51090,2312,301,84,7945,91958,115163,3889,27533,520289,134714,655003,451571,476064,158430,96308,87355,1961237,652237,368743,333199,9927,122562,73581,12078,268315,5667,135885,288372,7979,243864,198260,497520,14789,362204,273,115436,368601,207,148086,6034,600,87
Uttar Pradesh,Sitapur,27.50199596,80.85288881,154,UTTAR PRADESH,4483992,2375264,2108728,2283733,1397702,886031,1446427,767033,679394,1602,833,769,1422602,1171252,251350,3061390,473554,70971,306980,3555450,893725,6579,11611,2663,1410,79,12475,74072,102040,3874,34609,827583,111319,938902,714304,656401,221898,136383,127750,2862383,1000987,588318,575384,11679,205606,88916,13992,346907,4775,123246,369436,8537,371343,145037,776437,11939,520109,535,321069,350723,600,230288,5546,888,89
Uttar Pradesh,Sonbhadra,24.46693269,83.06816325,200,UTTAR PRADESH,1862559,971344,891215,985708,601988,383720,421661,218996,202665,385018,197825,187193,730399,463611,266788,1132160,371261,29417,188714,1738769,103567,3963,1649,1747,487,1907,10470,40467,95582,5149,25220,337048,91040,428088,306218,297226,120822,82614,63846,1203938,418914,237866,203774,10279,82293,50700,6555,151246,8208,80712,165535,7734,90701,78826,288821,19116,210788,3847,158004,71772,1111,47641,6067,323,92
Uttar Pradesh,Sultanpur,26.28463864,82.05710457,179,UTTAR PRADESH,3797117,1914586,1882531,2239902,1300248,939654,851587,431438,420149,696,358,338,1242632,869838,372794,2554485,501634,85785,316323,3119590,650261,4453,1629,9989,426,336,10433,55055,233701,5956,44008,839737,49891,889628,460210,637015,306046,188848,176414,2376875,828222,580164,526011,18382,188306,104307,19566,406409,8061,135697,440274,14299,278962,101900,612902,9494,415868,476,300237,227335,574,154994,4090,730,98
Uttar Pradesh,Unnao,26.63163991,80.63677329,156,UTTAR PRADESH,3108367,1630087,1478280,1773584,1053063,720521,948588,494487,454101,2926,1558,1368,1124744,851014,273730,1983623,332663,49243,292715,2732016,363453,3574,1204,920,240,31,6929,70484,99466,3476,28719,596317,121039,717356,501457,512965,240024,136688,101934,1893706,706851,453462,417537,10191,178176,79130,14093,283343,5016,134235,306178,8742,362568,141351,548851,14029,459680,263,275402,210791,388,68748,4404,602,91
Uttar Pradesh,Varanasi,25.36057089,82.82529667,197,UTTAR PRADESH,3676841,1921857,1754984,2403903,1389116,1014787,486958,256483,230475,28617,14992,13625,1220708,921234,299474,2456133,182146,168764,671846,3107681,546987,7696,3309,1146,1898,298,7826,202055,336056,19214,57583,438935,316129,755064,467782,608174,447926,351391,281652,2260457,856070,531549,412569,24216,169964,157861,24120,354568,29831,309911,398076,19388,301753,295357,500257,33976,305591,245,167334,278202,501,187518,33999,616,91
Uttaranchal,Almora,29.68353213,79.50165064,64,UTTARAKHAND,622506,291081,331425,436497,231604,204893,150995,72695,78300,1281,633,648,298211,142460,155751,324295,10274,4312,76008,611250,7752,1895,256,201,31,6,1115,40199,109876,1830,9858,260056,21082,281138,90864,120029,76148,53026,37742,351595,141238,128994,2673,3396,35647,6719,3629,86810,2383,70237,98610,8171,77118,76958,123666,12840,5856,2135,65744,36378,1947,112049,37,131,114
Uttaranchal,Bageshwar,29.98703393,79.83954354,63,UTTARAKHAND,259898,124326,135572,179483,97546,81937,72061,35623,36438,1982,971,1011,123638,58708,64930,136260,8985,2991,26537,257509,1440,397,46,102,7,16,381,13352,47083,435,3595,96031,3880,99911,38113,47788,31224,20785,10900,147488,60569,51672,975,1149,12012,2005,823,32980,544,25873,35364,1561,28198,31604,53896,3013,1888,983,27478,14315,1153,45834,31,53,109
Uttaranchal,Chamoli,30.58338611,79.56281096,57,UTTARAKHAND,391605,193991,197614,280556,155395,125161,79317,39718,39599,12260,6021,6239,180940,93832,87108,210665,3845,5384,50554,385818,4395,428,323,190,11,23,417,27853,71524,899,5582,163434,22906,186340,47447,68435,47703,32557,27168,229715,93182,67873,861,2516,17641,2311,1482,53380,956,46579,59079,4217,46547,45572,72625,11202,967,847,32596,31825,592,73654,9,78,102
Uttaranchal,Champawat,29.29142394,80.07720212,65,UTTARAKHAND,259648,131125,128523,177726,102015,75711,47383,24188,23195,1339,777,562,99566,60427,39139,160082,4032,1570,33971,249563,8693,870,336,24,28,6,128,18785,37725,548,3159,85202,12839,98041,36127,48093,23610,18360,15110,156916,60722,41913,7523,1387,8373,5151,1173,28298,1162,22588,31466,1995,24002,24284,44945,5095,9321,1076,19586,19181,1130,34183,603,52,98
